Test Case,Array Size,Kth Smallest Element Position,Runtime
4184,9336,931,0.000021
4200,5823,147,0.000018
4203,907,759,0.000017
4205,30632,107,0.000019
4233,27876,578,0.000018
4251,686,313,0.000008
4252,3734,341,0.000018
4254,8,950,0.000000
4259,3750,833,0.000019
4260,11186,202,0.000020
4262,7803,727,0.000022
4263,909,320,0.000011
4266,11269,120,0.000019
4268,30575,835,0.000019
4269,2062,46,0.000017
4277,7362,488,0.000024
4289,5553,74,0.000018
4295,11134,994,0.000020
4319,1390,754,0.000014
4331,18046,650,0.000023
4333,11975,535,0.000029
4337,29901,317,0.000023
4342,174,144,0.000003
4347,26098,333,0.000024
4362,122,688,0.000002
4371,865,508,0.000013
4375,6713,707,0.000024
4381,2762,638,0.000017
4382,693,56,0.000009
4389,5602,349,0.000019
4390,1586,678,0.000015
4396,13806,318,0.000019
4411,13509,485,0.000021
4414,4242,118,0.000018
4416,1121,699,0.000013
4417,17271,312,0.000021
4423,3849,480,0.000020
4428,17605,482,0.000021
4429,489,704,0.000008
4433,24369,90,0.000019
4437,10066,437,0.000018
4445,3729,425,0.000019
4467,3647,16,0.000018
4469,4556,303,0.000019
4500,6277,161,0.000019
4501,1067,328,0.000012
4507,1608,865,0.000015
4514,3334,436,0.000017
4539,17334,754,0.000019
4549,6293,512,0.000019
4553,5141,862,0.000019
4572,986,660,0.000011
4601,2840,427,0.000018
4604,3247,410,0.000017
4607,1459,70,0.000018
4608,2641,566,0.000020
4613,19159,227,0.000018
4618,15165,754,0.000020
4623,31537,63,0.000019
4624,3336,423,0.000018
4625,5242,28,0.000020
4628,7305,991,0.000019
4634,1516,223,0.000015
4639,4450,517,0.000019
4642,1829,616,0.000016
4646,10276,613,0.000022
4647,2032,298,0.000298
4655,23501,199,0.000018
4659,15698,714,0.000019
4661,29023,847,0.000019
4662,7764,692,0.000019
4670,9915,589,0.000022
4674,20518,306,0.000020
4680,749,654,0.000010
4697,2596,942,0.000017
4699,30123,458,0.000019
4701,30755,323,0.000023
4719,26896,346,0.000021
4722,3189,945,0.000018
4724,11972,983,0.000019
4728,2212,138,0.000017
4741,2277,31,0.000017
4743,12973,558,0.000019
4747,12664,767,0.000018
4758,449,472,0.000006
4759,17455,913,0.000018
4762,30272,193,0.000021
4766,1475,733,0.000015
4776,2141,404,0.000020
4782,2536,227,0.000018
4795,583,646,0.000008
4796,12572,523,0.000019
4801,10305,869,0.000019
4802,2102,759,0.000016
4807,5252,958,0.000019
4813,30272,105,0.000019
4817,71,868,0.000001
4831,21554,976,0.000018
4838,4258,281,0.000019
4841,2371,259,0.000018
4844,14117,931,0.000019
4851,15745,497,0.000024
4856,2720,539,0.000018
4868,8188,798,0.000019
4871,11970,936,0.000019
4873,754,896,0.000009
4878,5113,632,0.000019
4883,3113,19,0.000018
4890,968,376,0.000012
4924,959,718,0.000012
4925,9706,125,0.000019
4953,14877,460,0.000019
4960,6638,700,0.000023
4961,3659,571,0.000018
4969,16702,549,0.000019
4974,5186,816,0.000018
4989,5276,108,0.000019
5005,1248,372,0.000013
5007,2724,105,0.000016
5014,1819,694,0.000016
5022,18872,891,0.000017
5028,296,404,0.000004
5039,3950,388,0.000018
5046,365,219,0.000005
5048,10006,17,0.000019
5056,7075,261,0.000019
5072,969,715,0.000009
5076,7899,786,0.000019
5085,30654,521,0.000019
5087,12823,349,0.000019
5103,547,576,0.000007
5104,7772,976,0.000019
5121,129,495,0.000003
5123,3997,821,0.000018
5128,6874,123,0.000019
5131,763,325,0.000010
5143,2236,471,0.000022
5145,19551,218,0.000018
5152,9362,554,0.000018
5158,15982,695,0.000019
5159,1420,84,0.000014
5161,21182,340,0.000019
5176,6190,45,0.000019
5185,19497,629,0.000019
5187,1104,43,0.000013
5194,1095,883,0.000013
5200,4751,283,0.000018
5202,106,748,0.000002
5203,5194,57,0.000019
5210,3244,66,0.000018
5212,2545,101,0.000018
5224,8739,319,0.000021
5226,26711,463,0.000019
5240,2520,951,0.000017
5241,12618,968,0.000018
5247,996,479,0.000011
5252,4751,802,0.000024
5254,8707,237,0.000019
5259,13465,49,0.000019
5269,3494,646,0.000018
5279,10711,361,0.000019
5280,778,977,0.000010
5281,20907,923,0.000019
5345,11361,852,0.000019
5348,28070,770,0.000019
5349,6211,320,0.000019
5356,1086,962,0.000012
5362,1380,870,0.000015
5370,12872,263,0.000019
5385,8751,214,0.000020
5406,15538,72,0.000019
5408,25293,265,0.000019
5412,584,667,0.000008
5415,109,678,0.000002
5422,427,191,0.000006
5423,2254,322,0.000017
5424,1835,336,0.000016
5435,26697,305,0.000019
5443,6939,179,0.000024
5444,8681,300,0.000019
5449,192,55,0.000003
5483,3266,984,0.000019
5484,3460,940,0.000019
5497,27144,166,0.000021
5505,114,921,0.000002
5533,23106,613,0.000022
5540,11234,289,0.000018
5542,17328,814,0.000022
5543,3206,915,0.000018
5544,3407,793,0.000019
5558,56,577,0.000001
5559,1257,466,0.000014
5583,8636,827,0.000021
5591,18093,938,0.000020
5598,18043,175,0.000022
5616,669,478,0.000008
5630,3697,914,0.000019
5644,5765,348,0.000020
5658,976,380,0.000011
5661,1789,944,0.000016
5683,26401,425,0.000019
5687,14008,702,0.000019
5691,15564,593,0.000019
5700,363,156,0.000005
5706,24542,838,0.000019
5709,2504,404,0.000017
5712,137,297,0.000003
5718,31574,210,0.000019
5724,10950,759,0.000019
5729,2428,306,0.000017
5740,655,18,0.000009
5754,26620,666,0.000019
5757,4796,212,0.000020
5760,3745,450,0.000020
5761,6567,164,0.000019
5776,1261,183,0.000013
5777,425,944,0.000006
5779,13941,805,0.000018
5781,15758,166,0.000019
5783,20587,316,0.000019
5784,2482,216,0.000017
5789,9543,943,0.000019
5796,16949,972,0.000019
5800,1469,197,0.000015
5820,2485,248,0.000018
5828,80,863,0.000001
5829,500,347,0.000007
5833,998,117,0.000012
5835,3735,647,0.000019
5855,28308,522,0.000019
5858,871,98,0.000010
5882,8448,244,0.000018
5897,14664,141,0.000018
5898,4381,485,0.000017
5921,4740,878,0.000019
5922,16544,581,0.000018
5923,319,957,0.000005
5928,13889,16,0.000019
5932,2152,192,0.000017
5942,15283,663,0.000019
5945,7071,271,0.000019
5954,1603,108,0.000015
5957,14292,332,0.000020
5967,2651,618,0.000017
5969,3543,787,0.000018
5972,1147,318,0.000015
5977,3021,91,0.000018
5980,17776,429,0.000024
5997,1431,71,0.000015
5998,7725,12,0.000020
6023,3343,887,0.000018
6031,1391,417,0.000016
6033,2561,852,0.000018
